Make Nats?,School,NATS,UT-Austin,Rickards,Palatine,Boyceville,Seven Lakes,Dick Smith,Raymond Park,BirdSO Mini,Fairfax,Westlake,SONI,Camas,Rice,Carnegie-Mellon,Solon IP,Solon Sat,SOLVI,UC Davis,Duke,Ohio State,MIT,UChicago,North Pocono IP,North Pocono Sat,Cornell,High Desert,SOAPS,Princeton,Mentor,Yale,San Marino,Golden Gate,BirdSO Sat,UMSO,SOUP,Northwestern,Mt. Vernon,LA Tech,Mason,Louisville,Lexington
TRUE,"Mason H.S. Mason, OH",88.44752917,,,,,,,,,,,65.25608818,,,,103.4966171,,,,,,75.16847639,,,,,,,,128.9058296,,,,140.7407851,,73.0707394,,,,23.89118513,,18.85967542
TRUE,"Troy H.S. Fullerton, CA",60.30513352,,,,,,,67.62764403,,,,105.759867,,,,,,68.810768,,,,94.08183497,,,,,,,,,,,109.2370534,69.15291169,,,,,,,,
TRUE,"Mountain View H.S. Mountain View, CA",48.24410682,,,,,,,,59.94280695,,,110.0282025,,,,,,64.29858649,,,,49.77025399,,,,,,,,,,,103.4877348,,,,,,,29.65540757,,
TRUE,"Marquette University H.S. Milwaukee, WI",35.6164547,,12.30424416,33.61909277,76.00049205,,,,,,,42.15857243,,,,64.68538571,17.16595951,,,,,54.82212188,,,,,,,,,,,,,57.98696272,,88.19572608,,,51.89696325,,
TRUE,"Solon H.S. Solon, OH",56.45586968,,,,3.190860353,,,,16.83325401,,42.62995199,37.00797761,,,,84.89956874,15.73546288,,,,74.36300446,,,,,,,,,61.2830993,,,,40.95326123,67.20343362,,53.13655546,,,,,
TRUE,"Adlai E. Stevenson H.S. Lincolnshire, IL",44.22376458,,,36.83268252,23.60485871,,,,,,,60.28572274,,,,,60.77144286,,,,,,,,,,,,,,,,86.11388153,,,,71.29154525,,,65.78488299,,
TRUE,"Seven Lakes H.S. Katy, TX",60.64973429,53.80370176,29.32511525,,,,,,86.99664018,,,,,,,,,,,,,63.95914219,,,,,,,,,,,54.87256637,,,,,,,,,
TRUE,"Carmel H.S. Carmel, IN",45.16469575,,,,,,,14.17998988,,,,,,,,73.92615509,,,,,41.11416112,62.31916419,,,,,,,,,,,,56.61527331,,,,,,,,
FALSE,Mission San Jose H.S. CA,,,,,,,,,41.13230268,,,46.55842344,,,,,,,47.85856623,,,,,,,,,,,,,,39.58926768,,,,,,,87.30330266,,
TRUE,"William G. Enloe H.S. Raleigh, NC",46.75640308,,,,,,,,36.27535181,,,13.79218052,,,,,,,,41.04004953,,50.6343209,,,,,40.08387225,,,,,,,,,61.01052027,,,,75.94677549,,
