Nats Rank,State,School,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
1,CA,"Troy H.S. Fullerton, CA",,,,,,,,,,,,63.93998254,,,,,,,119.2606106,,,,,100.6330823,,,,,,,,,,101.9781078,,,,,
2,MA,"Acton-Boxborough Regional H.S. Acton, MA",,,,,,,,,,,,,,,,,,,,,,,,107.653995,,,,,,90.34167722,,127.1332781,,,3.495874769,,,,
3,CA,"Mountain View H.S. Mountain View, CA",,,,,,,,59.95705178,,,,,,,,,,,83.8551168,,,16.03819164,,103.4440623,,,,,,,,,,82.24040953,,,,,
,MA,Lexington H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,41.33144452,,54.12406564,,,105.9209325,,,76.56890614,,,43.75266655,,90.99304805,,
4,IL,"New Trier H.S. Winnetka, IL",,,,,,44.46162103,,49.00335963,,,,,,,,,,,,,,,,65.66130193,,,,45.64075433,,,,,96.93050155,,,,,,100.9510613
5,OH,"Solon H.S. Solon, OH",,,,,,,,,,,45.36338232,,,,,,,,,,,,,,,,,104.5173274,,,,,,,13.08520149,72.65774231,,,67.67049167
6,OH,"Mason H.S. Mason, OH",,,,,,,,,,,63.11427106,,,,,,,,,,,,,65.4292832,,,,57.74437978,,,,,,,,98.2225035,,,
7,NJ,"Montgomery H.S. Skillman, NJ",,,,,55.01915819,,,,,,,,,,,,,,,,,,,68.8345247,,80.84354109,,,,,,,,,,,,93.69091993,
8,IL,"Adlai E. Stevenson H.S. Lincolnshire, IL",,,,,,62.53942299,,49.72048197,,,,,,,50.79502993,,,,,,,,,,,,,73.6037517,,,,,,,,,,81.91555841,
,NJ,"West Windsor-Plainsboro H.S. North Plainsboro, NJ",,,,,,,,,,,,,,48.26547867,,,,54.61545801,,,,,,95.44581002,,,,,,,,,,,,,,74.95273595,
9,WI,"Marquette University H.S. Milwaukee, WI",,,,,,36.48133008,,19.15920828,,,,,,,60.03048992,,,,,,,,,55.6050665,,,,,,,,,74.31338452,,,62.76941052,,,72.44723226
10,TX,"Seven Lakes H.S. Katy, TX",,43.08759032,,26.91456263,,,,,,,,,,,,,,,,,,,,95.9403479,,,,,,,,,,,,,,,
11,PA,"Harriton H.S. Bryn Mawr, PA",,,,,,,,,,45.99093274,,,,41.83008151,,,,,,,,,,80.85802246,,,,,,,,,,,,,,62.46061329,
12,PA,"Cumberland Valley H.S. Mechanicsburg, PA",5.607020805,,,,,,,,,26.36422896,,,,61.62467366,,,,,,,67.71107166,,,,,,,48.16466701,,,,,,,6.853221415,,,50.30384963,
,NJ,"West Windsor-Plainsboro H.S. South West Windsor, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,77.88585056,,,,,,,,,,,,71.38355805,
13,IN,"Carmel H.S. Carmel, IN",,,,,,,,,,,,,,,,,,,,,72.68982693,,,,,,,,,,,,,,11.14429622,63.14303796,,,
14,NY,Great Neck South H.S. NY,,,,,,,,,,,,,,46.01308966,,,,62.75986842,,,,,,,,,,,,,,,,,53.60341312,,,53.53766853,
15,NY,"Ward Melville H.S. East Setauket, NY",,,26.09053921,,,,,24.67965812,,,,,,,,,,54.20170454,,,,,,52.01260434,,,,,,,,,,,10.62130202,,,63.78956251,
