Appearances,1st,2nd,3rd,4th,Overall Rank,State Rank,Make Nats?,Nats Rank,Overall Score,State,School,SONT 2022,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
5,119.2606106,101.9781078,100.6330823,77.35183935,1,1,TRUE,1,102.9826935,CA,"Troy H.S. Fullerton, CA",77.35183935,,,,,,,,,,,,63.93998254,,,,,,,119.2606106,,,,,100.6330823,,,,,,,,,,101.9781078,,,,,
5,127.1332781,107.653995,90.34167722,51.26002488,2,1,TRUE,2,100.3750455,MA,"Acton-Boxborough Regional H.S. Acton, MA",51.26002488,,,,,,,,,,,,,,,,,,,,,,,,107.653995,,,,,,90.34167722,,127.1332781,,,3.495874769,,,,
6,103.4440623,83.8551168,82.24040953,79.1341398,3,2,TRUE,3,89.03204396,CA,"Mountain View H.S. Mountain View, CA",79.1341398,,,,,,,,59.95705178,,,,,,,,,,,83.8551168,,,16.03819164,,103.4440623,,,,,,,,,,82.24040953,,,,,
6,105.9209325,90.99304805,76.56890614,54.12406564,4,2,FALSE,,86.14710664,MA,Lexington H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,41.33144452,,54.12406564,,,105.9209325,,,76.56890614,,,43.75266655,,90.99304805,,
7,100.9510613,96.93050155,65.66130193,54.17068876,5,1,TRUE,4,83.71864633,IL,"New Trier H.S. Winnetka, IL",54.17068876,,,,,,44.46162103,,49.00335963,,,,,,,,,,,,,,,,65.66130193,,,,45.64075433,,,,,96.93050155,,,,,,100.9510613
6,104.5173274,72.65774231,67.67049167,66.30157659,6,1,TRUE,5,80.77764707,OH,"Solon H.S. Solon, OH",66.30157659,,,,,,,,,,,45.36338232,,,,,,,,,,,,,,,,,104.5173274,,,,,,,13.08520149,72.65774231,,,67.67049167
5,98.2225035,80.2434969,65.4292832,63.11427106,7,2,TRUE,6,79.75586144,OH,"Mason H.S. Mason, OH",80.2434969,,,,,,,,,,,63.11427106,,,,,,,,,,,,,65.4292832,,,,57.74437978,,,,,,,,98.2225035,,,
5,93.69091993,80.84354109,68.8345247,55.01915819,8,1,TRUE,7,77.79764352,NJ,"Montgomery H.S. Skillman, NJ",46.41110361,,,,,55.01915819,,,,,,,,,,,,,,,,,,,68.8345247,,80.84354109,,,,,,,,,,,,93.69091993,
6,81.91555841,73.6037517,65.79351853,62.53942299,9,2,TRUE,8,72.61152889,IL,"Adlai E. Stevenson H.S. Lincolnshire, IL",65.79351853,,,,,,62.53942299,,49.72048197,,,,,,,50.79502993,,,,,,,,,,,,,73.6037517,,,,,,,,,,81.91555841,
4,95.44581002,74.95273595,54.61545801,48.26547867,10,2,FALSE,,72.36682746,NJ,"West Windsor-Plainsboro H.S. North Plainsboro, NJ",,,,,,,,,,,,,,,48.26547867,,,,54.61545801,,,,,,95.44581002,,,,,,,,,,,,,,74.95273595,
8,74.66134059,74.31338452,72.44723226,62.76941052,11,1,TRUE,9,71.98639054,WI,"Marquette University H.S. Milwaukee, WI",74.66134059,,,,,,36.48133008,,19.15920828,,,,,,,60.03048992,,,,,,,,,55.6050665,,,,,,,,,74.31338452,,,62.76941052,,,72.44723226
4,95.9403479,52.35398883,43.08759032,26.91456263,12,1,TRUE,10,67.15824353,TX,"Seven Lakes H.S. Katy, TX",52.35398883,,43.08759032,,26.91456263,,,,,,,,,,,,,,,,,,,,95.9403479,,,,,,,,,,,,,,,
5,80.85802246,62.46061329,45.99093274,41.83008151,13,1,TRUE,11,61.12375009,PA,"Harriton H.S. Bryn Mawr, PA",36.77110993,,,,,,,,,,45.99093274,,,,41.83008151,,,,,,,,,,80.85802246,,,,,,,,,,,,,,62.46061329,
8,67.71107166,61.62467366,50.30384963,48.16466701,14,2,TRUE,12,58.70006644,PA,"Cumberland Valley H.S. Mechanicsburg, PA",35.26100274,5.607020805,,,,,,,,,26.36422896,,,,61.62467366,,,,,,,67.71107166,,,,,,,48.16466701,,,,,,,6.853221415,,,50.30384963,
2,77.88585056,71.38355805,,,15,3,FALSE,,58.42639386,NJ,"West Windsor-Plainsboro H.S. South West Windsor, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,77.88585056,,,,,,,,,,,,71.38355805,
4,72.68982693,63.14303796,52.67517894,11.14429622,16,1,TRUE,13,58.1244889,IN,"Carmel H.S. Carmel, IN",52.67517894,,,,,,,,,,,,,,,,,,,,,72.68982693,,,,,,,,,,,,,,11.14429622,63.14303796,,,
5,62.75986842,53.60341312,53.53766853,46.01308966,17,1,TRUE,14,55.23616196,NY,Great Neck South H.S. NY,37.2496927,,,,,,,,,,,,,,46.01308966,,,,62.75986842,,,,,,,,,,,,,,,,,53.60341312,,,53.53766853,
7,63.78956251,54.20170454,52.01260434,43.58403131,18,2,TRUE,15,54.96711802,NY,"Ward Melville H.S. East Setauket, NY",43.58403131,,,26.09053921,,,,,24.67965812,,,,,,,,,,54.20170454,,,,,,52.01260434,,,,,,,,,,,10.62130202,,,63.78956251,
4,59.83313009,59.01790232,45.83288897,41.66447111,19,1,TRUE,16,53.27937288,NC,"William G. Enloe H.S. Raleigh, NC",59.83313009,,,,,,,,,,,,,,,,,,,,,,,,45.83288897,,,,,,,,,,,41.66447111,,,59.01790232,
5,52.3610582,46.41105642,38.62807114,35.66141908,20,2,TRUE,17,44.71244878,TX,Jordan H.S. TX,,,29.82987022,,52.3610582,,,,,35.66141908,,,,,,,,,,,,,,,,,,,,,,,,,38.62807114,46.41105642,,,,
